index	hanzi	bihuashu	bishunma	GBK	Unicode
1	一	1	1	D2BB	4E00
2	丨	1	2	D8AD	4E28
3	亅	1	2	817C	4E85
4	丿	1	3	D8AF	4E3F
5	丶	1	4	D8BC	4E36
6	乁	1	4	8155	4E41
7	乀	1	4	8154	4E40
8	乛	1	5	815E	4E5B
9	乚	1	5	815D	4E5A
10	乙	1	5	D2D2	4E59
11	二	2	11	B6FE	4E8C
12	丅	2	12	8142	4E05
13	十	2	12	CAAE	5341
14	丁	2	12	B6A1	4E01
15	厂	2	13	B3A7	5382
16	丆	2	13	8143	4E06
17	匚	2	15	D8CE	531A
18	匸	2	15	855B	5338
19	七	2	15	C6DF	4E03
20	丂	2	15	8140	4E02
21	丄	2	21	8141	4E04
22	刂	2	22	D8D6	5202
23	卜	2	24	B2B7	535C
24	冂	2	25	D8E7	5182
25	亻	2	32	D8E9	4EBB
26	八	2	34	B0CB	516B
27	人	2	34	C8CB	4EBA
28	入	2	34	C8EB	5165
29	乂	2	34	8156	4E42
30	勹	2	35	D9E8	52F9
31	儿	2	35	B6F9	513F
32	匕	2	35	D8B0	5315
33	几	2	35	BCB8	51E0
34	九	2	35	BEC5	4E5D
35	亠	2	41	D9EF	4EA0
36	冫	2	41	D9FB	51AB
37	丷	2	43	8152	4E37
38	冖	2	45	DAA2	5196
39	讠	2	45	DAA5	8BA0
40	刁	2	51	B5F3	5201
41	了	2	52	C1CB	4E86
42	凵	2	52	DBC9	51F5
43	丩	2	52	814C	4E29
44	卩	2	52	DAE0	5369
45	阝	2	52	DAE2	961D
46	刀	2	53	B5B6	5200
47	力	2	53	C1A6	529B
48	乃	2	53	C4CB	4E43
49	又	2	54	D3D6	53C8
50	厶	2	54	DBCC	53B6
51	乄	2	54	8157	4E44
52	廴	2	54	DBC8	5EF4
53	巜	2	55	8E77	5DDC
54	乜	2	55	D8BF	4E5C
55	三	3	111	C8FD	4E09
56	干	3	112	B8C9	5E72
57	亍	3	112	D8A1	4E8D
58	于	3	112	D3DA	4E8E
59	亏	3	115	BFF7	4E8F
60	亐	3	115	8180	4E90
61	工	3	121	B9A4	5DE5
62	土	3	121	CDC1	571F
63	士	3	121	CABF	58EB
64	扌	3	121	DED0	624C
65	艹	3	122	DCB3	8279
66	卄	3	122	8560	5344
67	才	3	123	B2C5	624D
68	下	3	124	CFC2	4E0B
69	寸	3	124	B4E7	5BF8
70	丌	3	132	D8A2	4E0C
71	廾	3	132	DEC3	5EFE
72	大	3	134	B4F3	5927
73	丈	3	134	D5C9	4E08
74	兀	3	135	D8A3	5140
75	尢	3	135	DECC	5C22
76	与	3	151	D3EB	4E0E
77	万	3	153	CDF2	4E07
78	弋	3	154	DFAE	5F0B
79	夨	3	154	89F7	5928
80	上	3	211	C9CF	4E0A
81	小	3	234	D0A1	5C0F
82	凣	3	235	8447	51E3
83	口	3	251	BFDA	53E3
84	囗	3	251	E0ED	56D7
85	山	3	252	C9BD	5C71
86	巾	3	252	BDED	5DFE
87	千	3	312	C7A7	5343
88	乇	3	315	D8B1	4E47
89	乞	3	315	C6F2	4E5E
90	川	3	322	B4A8	5DDD
91	亿	3	325	D2DA	4EBF
92	彳	3	332	E1DC	5F73
93	彡	3	333	E1EA	5F61
94	凢	3	335	8446	51E2
95	亼	3	341	8191	4EBC
96	个	3	342	B8F6	4E2A
97	乊	3	343	8159	4E4A
98	亽	3	344	8192	4EBD
99	亾	3	345	8193	4EBE
100	兦	3	345	83C7	5166
101	亇	3	352	817D	4E87
102	犭	3	353	E1EB	72AD
103	夕	3	354	CFA6	5915
104	久	3	354	BEC3	4E45
105	夂	3	354	E2BA	5902
106	夊	3	354	89E5	590A
107	么	3	354	C3B4	4E48
108	勺	3	354	C9D7	52FA
109	凡	3	354	B7B2	51E1
110	丸	3	354	CDE8	4E38
111	及	3	354	BCB0	53CA
112	饣	3	355	E2BB	9963
113	丬	3	412	E3DC	4E2C
114	广	3	413	B9E3	5E7F
115	亡	3	415	CDF6	4EA1
116	门	3	425	C3C5	95E8
117	丫	3	432	D1BE	4E2B
118	义	3	434	D2E5	4E49
119	氵	3	441	E3DF	6C35
120	忄	3	442	E2E0	5FC4
121	宀	3	445	E5B2	5B80
122	辶	3	454	E5C1	8FB6
123	之	3	454	D6AE	4E4B
124	彐	3	511	E5E6	5F50
125	卂	3	512	855F	5342
126	尸	3	513	CAAC	5C38
127	己	3	515	BCBA	5DF1
128	已	3	515	D2D1	5DF2
129	巳	3	515	CBC8	5DF3
130	弓	3	515	B9AD	5F13
131	孒	3	521	8C48	5B52
132	子	3	521	D7D3	5B50
133	孑	3	521	E6DD	5B51
134	卫	3	521	CEC0	536B
135	屮	3	522	E5F8	5C6E
136	孓	3	524	E6DE	5B53
137	卪	3	524	856D	536A
138	也	3	525	D2B2	4E5F
139	女	3	531	C5AE	5973
140	乆	3	534	8158	4E46
141	刃	3	534	C8D0	5203
142	刄	3	534	8455	5204
143	飞	3	534	B7C9	98DE
144	劜	3	535	84B2	529C
145	习	3	541	CFB0	4E60
146	叉	3	544	B2E6	53C9
147	马	3	551	C2ED	9A6C
148	彑	3	551	8F9F	5F51
149	纟	3	551	E6F9	7E9F
150	乡	3	553	CFE7	4E61
